product_id,model,sku,upc,ean,jan,isbn,mpn,location,quantity,stock_status_id,image,manufacturer_id,shipping,price,points,tax_class_id,date_available,weight,weight_class_id,length,width,height,length_class_id,subtract,minimum,sort_order,status,viewed,date_added,date_modified,gpf_status,gtin,google_product_category,brand,gender,agegroup,colour,size,condition,adwords_grouping,adwords_labels,adwords_redirect,oos_status,gpf_size_system,gpf_size_type,gpf_availability_date,gpf_availability_time,gpf_is_bundle,identifier_exists,custom_labels,language_id,name,description,tag,meta_title,meta_description,meta_keyword
442,3D Plastic Lip Practice sheet x 3,PM028,,,,,PM028,,9999,7,data/FT PL 67.jpg,0,1,15,0,9,0000-00-00,305,2,0,0,0,1,0,0,0,1,952,2014-09-04 10:52:19,2014-10-21 12:09:09,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,3D Plastic Lip Practice sheet x 3,"<p>
	3 x thin rubberised sheet with 3D practice eyes</p>
",,,Practice Eye Skin,Practice Eye Skin
445,4 flat needles  Sense and Precise machine needle (5),,,,,,SEN008,,9999,7,data/sense/4flat pink.jpg,0,1,45,0,9,0000-00-00,50,2,0,0,0,1,0,0,161,1,2631,2014-10-08 10:22:34,2015-09-24 09:50:54,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,4 Flat Sense and Precise machine needle (5),"<p>
	Perfect needle for hair stroke or powdered brows or for lip procedures especially a lip blush or blend. Can also be used for camouflage and areola work. Four needles in a flat row</p>
",,,4 flat Sense and Precise machine needle (5) 4 Flat,4 Flat Sense and Precise machine needle (5)
362,5 Magnum Sense (5),,,,,,SEN009,,9999,7,data/sense/5magnum.jpg,0,1,50,0,9,2013-11-05,100,2,0,0,0,1,0,1,175,1,1077,2013-11-13 11:05:48,2014-10-15 16:12:53,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,5 Magnum Sense and Precise machine needle,"<p>
	Amiea Sense and Precisemachine needle 5 Magnum pack of 5</p>
<p>
	Suitable for lip shading, Areola, camouflage</p>
<p>
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,Amiea Sense and Precise machine Needle 5 Magnum pack of 5,Amiea Sense and Precise machine Needle 5 Magnum pack of 5
444,5 Power Sense Machine Needle (5),,,,,,SEN013,,9999,7,data/sense/5power.jpg,0,1,55,0,9,2013-11-05,100,2,0,0,0,1,0,1,176,1,1202,2014-10-08 10:18:22,2014-10-15 16:13:12,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,5 Power Sense and Precise machine needle (5),"<p>
	Amiea Sense and Precise machine Needle5 Power</p>
<p>
	Use for eyeliner and lipcontour</p>
<p>
	Please note: Use sparingly and apply the colour using only a few passes. Ideal for colour refreshment. Strong Colour application, very dense line.</p>
<p>
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,Amiea Sense and Precise machine Needle 5 Power,Amiea Sense and Precise machine Needle 5 Power
363,5 Round Sense (5),,,,,,SEN010,,9999,7,data/sense/5round pink.jpg,0,1,50,0,9,2013-11-05,100,2,0,0,0,1,0,1,170,1,1061,2013-11-13 11:05:51,2014-10-15 16:13:45,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,5 Round Sense and Precise machine needle,"<p>
	Amiea Sense and PreciseNeedle 5 round/liner/clusterpack of 5</p>
<p>
	Great for eyeliner, lip contours &amp; Areola<br />
	</p>
<p>
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,Amiea Sense and Precise Needle 5 Round,Amiea Sense and Precise Needle 5 Round
364,5 Sloped Sense (5),,,,,,SEN012,,9999,7,data/5slope.jpg,0,1,55,0,9,2013-11-05,100,2,0,0,0,1,0,1,180,1,1093,2013-11-13 11:06:13,2014-10-15 16:14:04,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,5 Sloped Sense and Precise machine needle,"<p>
	5 sloped needles for Sense andand Precise machines pack of 5<br />
	Hairstrokes, great for eyeliner, lash enhancement and lip contours<br />
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,5 Sloped Sense and Precise Machine Needle pack of 5,5 Sloped Sense Machine and Precise Needle pack of 5
365,5 V Sloped Sense Machine Needle (5),,,,,,SEN014,,9999,7,data/sense/5v-slope.jpg,0,1,55,0,9,2013-11-05,100,2,0,0,0,1,0,1,185,1,845,2013-11-13 11:06:17,2014-10-15 16:14:27,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,5 V Sloped Sense and Precise machine needle,"<p>
	*EXCLUSIVE TO SENSE MACHINE  Amiea Sense and PreciseNeedle 5 V Sloped box of 5</p>
<p>
	Suitable for Areola, Scars, Lip contours<br />
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,5 V Sloped Sense and Precise Machine Needle pack of 5,5 V Sloped Sense and Precise Machine Needle pack of 5
328,6 Point Needle Plate - 1.5 mm,VYT027,,,,,MN009,,9999,7,data/PP Needles/Meso_metal2.jpg,0,1,135,0,9,2013-10-28,100,2,0,0,0,1,0,1,210,1,1384,2013-10-29 11:22:07,2014-10-15 16:19:41,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,6 Point Needle Plate - 1.5 mm pack of 8,"<p>
	The small, tilting needle plate contains 6 tiny metal needles each 1.5mm in length. It adapts perfectly to the skins surface and thus facilitates access to difficult areas. The needles perforate the skin only for an instant, the epidermis in between the punctures stays unharmed. The design allows substances to be implanted into the skin at the dermal/epidermal junction. ONLY COMPATIBLE WITH THE REVIVE MN MACHINE -&lt;span style=&quot;color:#ff0000;&quot;&gt; available to medically trained professionals only&lt;/span&gt;.</p>
",,,6 Point Needle Plate - 1.5 mm,6 Point Needle Plate - 1.5 mm
367,7 Power Sense Machine Needle (5),,,,,,SEN016,,9999,7,data/sense/7power.jpg,0,1,60,0,9,2013-11-05,100,2,0,0,0,1,0,1,195,1,1048,2013-11-13 13:43:47,2014-10-15 16:16:37,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,Out of Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,7 Power Sense and Precise machine needle,"<p>
	Amiea Sense and Precise machine needle 7 Power - pack of 5</p>
<p>
	Suitable for Areola, Scars, Lip contours<br />
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,7 Power Sense and Precise Machine Needle pack of 5,7 Power Sense and Precise Machine Needle pack of 5
366,7 Cluster Sense Machine Needle (5),,,,,,SEN015,,9999,7,data/sense/7round pink.jpg,0,1,60,0,9,2013-11-05,100,2,0,0,0,1,0,1,190,1,979,2013-11-13 13:42:33,2014-10-15 16:17:37,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,7 Round Sense and Precise machine needle,"<p>
	7 round/liner/clusterneedle for amiea Sense and Precise machines. Pack of 5<br />
	<br />
	Suitable for : Areola, Scars, Lip contours<br />
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,Amiea Sense Machine Needle 7 round,Amiea Sense Machine Needle 7 round
368,9 Magnum Sense Machine Needle (5),,,,,,SEN017,,9999,7,data/sense/9magnum pink.jpg,0,1,65,0,9,2013-11-05,100,2,0,0,0,1,0,1,200,1,1055,2013-11-13 13:46:57,2014-10-15 16:18:02,1,,Health & Beauty &gt; Personal Care &gt; Cosmetics &gt; Makeup,Finishing Touches,Not Applicable,Not Applicable,,,New,,,0,In Stock,Not Applicable,Not Applicable,,,FALSE,TRUE,",,,,",1,9 Magnum Sense and Precise machine needle,"<p>
	Amiea Sense and Precise machine Needle 9 Magnum. Pack of 5</p>
<p>
	Suitable for Areola, Scars, Lip shading<br />
	<br />
	amiea Sense machines and needles are fitted with the groundbreaking SensiDrive® feature which measures skin resistance and adapts the needle frequency accordingly. This aids pigment implantation and retention.</p>
",,,9 Magnum Sense and Precise Machine Needle pack of 5,9 Magnum Sense and Precise Machine Needle pack of 5
